local,dia_semana,hora_dia,eventos_proximos,historico_ocorrencias_7d,iluminacao_ativa_pct,iluminacao_fonte,densidade_pessoas,acao_preventiva_necessaria
Praça Cais Edgar Amorim,3,18,0,13,93.0,sintetica,47,0
Praça Jornalista Otávio Sarmento Cardoso/Coliseu,2,3,0,4,48.0,sintetica,23,0
Praça Adulccio Júnior,4,1,0,7,29.0,sintetica,26,0
Praça Luiz De Lacerda,1,20,0,4,25.0,sintetica,22,0
A Praça É Nossa,5,17,0,9,99.0,sintetica,22,0
Praça De Boa Viagem,1,13,0,2,23.0,sintetica,18,0
Parque De Santana,4,15,0,8,53.0,sintetica,15,1
Praça Fleming,6,21,0,1,52.0,sintetica,86,1
Praça Do Forte Do Brum,1,10,0,14,23.0,sintetica,39,0
Praça Profeta Joseph Smith,4,9,0,2,63.0,sintetica,46,0
Praça Governador Paulo Guerra,1,16,0,11,95.0,sintetica,55,0
Largo Visconde De Mauá,5,13,0,3,50.0,sintetica,23,0
Praça Da Madalena,2,21,0,9,99.0,sintetica,13,1
Jardim América,1,3,1,0,85.0,sintetica,43,0
Praça Dezessete,5,18,0,10,77.0,sintetica,78,0
Praça Da  Singapura,3,1,1,3,79.0,sintetica,26,1
Praça Dalva De Oliveira,4,6,0,3,21.0,sintetica,51,0
Praca General Carlos Pinto,0,8,0,8,55.0,sintetica,23,0
Praça Carmela Dutra/Ipiranga,6,18,0,7,89.0,sintetica,73,0
Praça Da Ong Do Rio - Nova Morada,0,15,0,1,79.0,sintetica,39,0
Praça Manuel Markman,4,21,0,12,42.0,sintetica,91,1
Praça Da Torre,2,15,0,6,66.0,sintetica,38,0
Praça Gildo Macedo Lacerda,1,17,1,5,65.0,sintetica,16,0
Praça Da Rua José Augusto De Barros,2,22,1,6,99.0,sintetica,18,0
A Praça É Nossa,0,20,0,10,63.0,sintetica,55,0
Praça Campo Do Lagoão,6,20,1,3,38.0,sintetica,99,1
Praça Adalberto Aguiar,5,10,1,13,68.0,sintetica,45,1
Praça Da Conceição,6,6,1,13,77.0,sintetica,23,1
Praça Do Tourão,4,8,0,4,26.0,sintetica,29,0
Praça Abelardo Baltar,4,3,0,5,60.0,sintetica,26,0
Arnaldo Assunção,2,12,0,8,97.0,sintetica,41,0
Praça Da Juventude,5,3,0,1,34.0,sintetica,34,1
Praça Jornalista Anibal Fernandes,2,18,1,10,95.0,sintetica,39,1
Largo Do Holandes,1,1,0,8,72.0,sintetica,58,0
Praça José Maria Do Nascimento Paraíba/Lixão,3,8,0,9,42.0,sintetica,36,1
Praça Da Rua José Pimentel,5,11,1,0,96.0,sintetica,36,0
Praça Thiago Pepeta,3,1,0,3,92.0,sintetica,55,0
Praça Mercia De Albuquerque,6,5,1,11,84.0,sintetica,40,1
Praça Henrique Café,1,4,0,4,79.0,sintetica,54,0
Horta Comunitária De Casa Amarela,3,4,0,8,29.0,sintetica,35,0
Praça Da Juventude,0,19,0,14,77.0,sintetica,23,1
Praça Professor Agamenon Magalhães,6,21,0,5,66.0,sintetica,85,0
Praça Márcio Codonga,3,4,0,3,34.0,sintetica,30,0
Quatro De Outubro,1,3,1,1,28.0,sintetica,37,0
Praça Dom Bosco,3,8,1,4,32.0,sintetica,24,0
Praça Neta Araujo,4,21,0,7,42.0,sintetica,96,1
Praça Do Entrocamento,2,9,0,7,52.0,sintetica,34,0
Praça Do Candieiro,0,15,1,5,28.0,sintetica,20,0
Arnaldo Assunção,4,9,0,10,22.0,sintetica,53,1
Praça Do Cacique - Invadida Por Moradores E Comerciantes Da Área,4,9,0,0,92.0,sintetica,20,0
Praça Professor Fleming,1,18,1,14,44.0,sintetica,37,1
Praça Joca Leal,2,9,1,7,90.0,sintetica,14,0
Engenho Do Meio,2,5,0,3,55.0,sintetica,37,0
Praça Do Heróis Da Restauração,5,16,0,14,39.0,sintetica,17,0
Praça Mano Teodósio,6,4,0,13,73.0,sintetica,35,0
Praça Geraldo Vilas Boas,0,5,0,1,38.0,sintetica,15,0
Vila Boas Travassos,6,23,1,0,79.0,sintetica,62,0
Parque De Santana,1,14,1,6,56.0,sintetica,57,0
Praça Da Gaia,0,18,0,1,22.0,sintetica,41,0
Praça Joaquim Cardoso/Da Biblioteca,5,17,0,12,38.0,sintetica,21,0
Praça Doutor Pedro Alves Neto,3,3,1,3,72.0,sintetica,15,0
Praça Clotilde Machado,4,7,0,3,65.0,sintetica,22,0
Praça Da Rua Clotilde Machado,0,15,0,12,99.0,sintetica,48,0
Praça Das Cinco Pontas,6,23,1,9,75.0,sintetica,97,1
Praça Dom Diogo Camarao,4,18,0,14,89.0,sintetica,62,0
Praça Vitória Do Povo,1,19,0,0,50.0,sintetica,43,0
Praça Luiz Inácio Pessoa De Mello,6,2,0,1,72.0,sintetica,32,0
Praça Queira Deus,3,9,0,0,53.0,sintetica,50,0
Praça Ponte D`Uchoa,1,1,0,5,50.0,sintetica,54,0
Praça  Da Entrada Da Ur 2,3,3,0,12,79.0,sintetica,26,0
Praça Vitória Do Povo,3,5,1,2,30.0,sintetica,54,0
Horta Comunitária De Casa Amarela,4,10,0,0,25.0,sintetica,57,0
Praça José Vieira,1,13,0,11,46.0,sintetica,10,0
Praça Da Várzea,1,15,0,7,26.0,sintetica,16,0
Praça Dona Elizabeth,0,20,0,13,68.0,sintetica,22,0
Praça Presidente Kennedy,6,18,0,11,91.0,sintetica,65,0
Praça Da Madalena,1,1,0,13,79.0,sintetica,26,0
Praça Centro Campo Grande,0,16,0,3,52.0,sintetica,39,0
Praça Campo Santo,2,8,0,9,66.0,sintetica,57,0
Praça Lins Do Rego/Dos Brotos,2,16,1,6,63.0,sintetica,56,0
Praça Visconde De Mauá,2,14,0,9,98.0,sintetica,58,0
"R. Vidal De Negreiros,",5,6,0,1,46.0,sintetica,43,0
Praça João Felipe Santiago,1,21,0,14,41.0,sintetica,36,0
Praça Dom Diogo Camarao,5,22,0,5,66.0,sintetica,98,0
Praça Manuel Markman,6,18,0,5,67.0,sintetica,96,0
Praça Aleixo De Oliveira,1,2,0,6,49.0,sintetica,44,0
Sem Nome,0,0,0,11,21.0,sintetica,18,0
Praça São Francisco/Amante Das Flores,5,3,1,0,34.0,sintetica,15,1
Praça Via Mangue,5,17,0,13,66.0,sintetica,35,0
Praça Da Rua Do Campo,6,7,0,11,46.0,sintetica,47,0
Praça Alto Jose Do Pinho,5,18,0,0,90.0,sintetica,87,1
Praça Tertuliano Feitosa,3,22,0,14,46.0,sintetica,36,0
Praça Sitio Grande,0,22,1,1,32.0,sintetica,49,0
Praça Da Rua José Rodrigues,2,5,0,13,74.0,sintetica,40,0
A Praça É Nossa,0,0,0,10,36.0,sintetica,12,0
Largo Do Holandes,3,7,0,1,94.0,sintetica,33,0
Pracinha Das Crianças,6,0,0,4,78.0,sintetica,24,0
Praça Professor Barreto Campelo B,6,18,0,0,29.0,sintetica,76,1
Praça Da Vtiória,1,10,1,10,52.0,sintetica,20,1
Praça Luiz Gonzaga,0,20,0,1,97.0,sintetica,39,0
Praça Fernando Galvão,6,23,0,5,56.0,sintetica,95,1
Praça Torreão,5,14,0,2,27.0,sintetica,57,0
Praça De Dona Vilma,6,22,0,3,52.0,sintetica,85,1
Arnaldo Assunção,6,10,1,0,26.0,sintetica,52,0
Praça Luz Da Fraternidade,6,18,0,4,53.0,sintetica,80,1
Praça De Frente A Chesf,6,20,0,3,90.0,sintetica,77,0
Praça José Bonifácio,2,9,0,7,26.0,sintetica,32,0
Praca General Carlos Pinto,2,23,0,2,60.0,sintetica,51,0
Praça Do Lixo Ao Luxo,1,11,0,9,74.0,sintetica,51,0
Praça Arquiteta Maria Lucia,6,0,0,0,26.0,sintetica,12,0
Praça Barão De Caiara,0,23,0,13,37.0,sintetica,35,0
Praça Doutor Alberto Wanderley,3,6,1,12,62.0,sintetica,23,1
Praça Arsenal Da Marinha,1,16,0,9,97.0,sintetica,28,0
Praça Ascenço Ferreira,0,9,1,4,59.0,sintetica,30,0
Praça Clube Sargento Wolf,6,5,0,13,72.0,sintetica,30,0
Praça Palminha / Próximo Ao Núcleo Policial / Padaria Flor Do Ibura,4,16,0,14,33.0,sintetica,18,0
Praça Sitio Grande,6,17,0,0,40.0,sintetica,22,0
Prc Senhor Bartolomeu,2,4,1,10,76.0,sintetica,50,0
Praça Da Avenida Maurício De Nassau,3,17,0,4,65.0,sintetica,53,0
Praça Olavo Bilac,5,16,0,8,45.0,sintetica,55,0
Vila.Das Lavadeiras,3,21,0,4,43.0,sintetica,46,0
Praça Dona Carminha & Sr João,5,15,1,1,24.0,sintetica,47,0
Praça Das Criancas,3,7,1,12,61.0,sintetica,54,1
Praça Cidade Do Porto,2,23,0,14,62.0,sintetica,54,0
Praça Abelardo Rijo,5,12,1,1,51.0,sintetica,33,0
Praça André Antunes,0,23,0,9,25.0,sintetica,47,0
Praça Alto Da Serrinha,5,15,1,8,93.0,sintetica,55,0
Praça Academia Da Saúde Alto Da Conquista,1,10,0,11,86.0,sintetica,20,0
Praça Noel Rodrigues,0,5,0,13,26.0,sintetica,38,0
Parque Treze De Maio,1,2,0,4,48.0,sintetica,54,0
Praça Onze De Junho,6,0,0,10,53.0,sintetica,53,0
Praça Da Paz,3,17,0,7,26.0,sintetica,57,0
Praça Conselheiro João Alfredo,0,4,0,9,96.0,sintetica,47,0
Praça Miguel De Cervantes,3,12,0,3,77.0,sintetica,50,0
Praça Professora Antonia Galvão,6,9,0,1,50.0,sintetica,26,0
Praça Sebastião Malta,4,4,0,3,92.0,sintetica,57,0
Parque Da Tamarineira,3,13,1,11,64.0,sintetica,35,1
Praça Da Rua Sargento Rubens Leite,6,16,1,10,66.0,sintetica,35,1
Praça 3º Jardim De Boa Viagem,3,0,1,3,96.0,sintetica,21,0
Praça Dalva De Oliveira,6,1,0,10,91.0,sintetica,27,0
Nossa Senhora De Lourdes,1,6,0,8,92.0,sintetica,18,0
Praça Das Criancas,6,9,1,9,92.0,sintetica,12,1
Praça Maria Sampaio Lucena,5,19,1,10,59.0,sintetica,78,1
Praça Professor Trajano,4,6,0,5,49.0,sintetica,52,0
Praça Todos Os Santos,3,23,0,14,81.0,sintetica,11,1
Praça Da Rua Jatobá,6,15,0,9,90.0,sintetica,17,0
Praça Monteiro Lobato,6,4,0,14,36.0,sintetica,52,0
Praça Lagoa Do Araça,3,11,0,5,24.0,sintetica,27,0
Andresa Carla Gomes Do Nascimento,4,16,0,4,20.0,sintetica,48,0
Praça Henrique Café,4,15,1,5,99.0,sintetica,40,0
Academia Da Cidade,6,19,0,0,50.0,sintetica,97,1
Praça José Da Mota Silveira,0,15,0,12,54.0,sintetica,48,0
Praça Izabel De Goes,1,18,0,4,91.0,sintetica,42,0
Praça João Miguel De Souza Junior,4,14,1,11,49.0,sintetica,38,1
Pinto Damásio,4,11,0,5,34.0,sintetica,53,0
Praça Virgilio De Oliveira,2,20,0,7,75.0,sintetica,42,0
Horta Comunitária De Casa Amarela,5,9,0,3,79.0,sintetica,44,0
Praça João Stanislau,4,21,0,13,46.0,sintetica,79,1
Praça Elvira Andrade De Souza,1,1,0,4,21.0,sintetica,44,0
Praça Poeta Fernando Pessoa,5,6,0,3,93.0,sintetica,41,0
Parque De Santana,5,12,0,6,83.0,sintetica,45,0
Praça Da Rua Sargento Rubens Leite,3,2,0,9,24.0,sintetica,55,0
Praça Pantanal,3,14,0,5,87.0,sintetica,59,1
Praça Da Av. Do Forte,3,0,0,13,32.0,sintetica,32,0
Praça Ministro Salgado Filho,3,2,0,3,42.0,sintetica,14,0
Praça Do Vasco Da Gama,2,9,1,5,69.0,sintetica,56,0
Praça Clotilde Machado,4,14,0,12,98.0,sintetica,25,0
Pracinha Da Estação Do Barro,3,21,0,3,97.0,sintetica,49,0
Praça Maurício De Nassau E Duarte Coelho,6,5,0,11,92.0,sintetica,33,0
Praça Do Mercado Da Madalena,0,19,0,7,56.0,sintetica,49,0
Praça Riacho Doce,3,14,0,10,49.0,sintetica,37,0
Praça Vitória Do Povo,4,23,0,14,42.0,sintetica,99,1
Praça Simon Bolivar,3,20,0,14,53.0,sintetica,16,0
15 De Setembro,2,6,1,2,83.0,sintetica,47,0
Praça Solange Pinto Melo,1,20,1,7,74.0,sintetica,16,0
Praça Francisco Apolônio Jorge Sales,1,4,1,12,90.0,sintetica,31,1
Praça De Dona Vilma,4,3,0,1,28.0,sintetica,31,0
Praça Mercia De Albuquerque,6,21,0,5,23.0,sintetica,63,0
Praça  Zeca Barbosa,1,17,0,7,85.0,sintetica,42,0
Praça Dezessete,1,2,0,0,52.0,sintetica,54,0
Praça Alto Jose Do Pinho,0,16,0,5,51.0,sintetica,41,0
Praça Nadir Colaco,4,17,0,8,63.0,sintetica,48,0
Praça Frei Cassimiro,6,17,0,14,56.0,sintetica,41,0
Não Temos Nome,4,23,0,12,86.0,sintetica,99,0
Praça Da Paz,1,23,0,9,79.0,sintetica,19,0
Praça Alfredo Pinto,1,1,0,9,78.0,sintetica,54,0
Praça João Rique,1,12,0,1,55.0,sintetica,13,0
Praça Da Conceição,5,21,1,10,68.0,sintetica,73,1
Praça Robert Kennedy/Da Juventude,2,14,0,12,70.0,sintetica,16,0
Praça Da Av. Do Forte,3,4,0,0,27.0,sintetica,47,0
Praça Monteiro Lobato,2,2,0,1,69.0,sintetica,15,0
Av Manoel Gonsalves Da Luz,4,4,0,4,60.0,sintetica,20,0
Praça Da Rua Leonardo Da Vinci,0,4,0,5,57.0,sintetica,18,0
Praça Maria Sampaio Lucena,3,4,1,0,97.0,sintetica,39,0
Praça Campo Do Lagoão,0,2,1,6,98.0,sintetica,31,0
Praça  João Maurício Campos,6,2,0,10,74.0,sintetica,48,0
Praça Sebastião Pontes,5,19,0,3,87.0,sintetica,95,0
Praça Bomba Do Hemetério,4,22,0,8,37.0,sintetica,72,0
"R. Vidal De Negreiros,",5,17,0,14,84.0,sintetica,55,0
Praça Do Ipê,4,19,1,14,83.0,sintetica,92,1
Praça Da Travessa José Leite,0,3,0,14,31.0,sintetica,35,0
Praça Neta Araujo,0,0,1,5,60.0,sintetica,25,0
Praça Josenildo Lins,0,15,0,8,61.0,sintetica,18,0
Praça Tempo De Crescer,4,7,0,0,79.0,sintetica,32,0
Praça Gustavo Barrozo,1,16,0,3,69.0,sintetica,24,0
Praça Dancing Deys,0,7,0,1,55.0,sintetica,28,0
Praça Do Finado Leiteiro,5,6,0,5,67.0,sintetica,51,0
Praça Monteiro Lobato,6,7,0,14,90.0,sintetica,25,0
Praça Professor Barreto Campelo B,3,20,0,3,92.0,sintetica,34,0
Praça Chão De Estrelas,4,23,0,8,27.0,sintetica,62,0
Praca Da Ur6,5,11,0,13,44.0,sintetica,22,0
Praça Do Entrocamento,2,15,0,2,26.0,sintetica,55,1
Praça Do Caixito,6,11,0,0,27.0,sintetica,16,0
Superintendente João Gonçalves De Souza,2,18,0,10,95.0,sintetica,43,0
Praça Largo De Monte Verde,3,9,0,12,50.0,sintetica,23,0
Praça Vila 27 De Abril,1,6,0,10,31.0,sintetica,32,0
Parque Jonathan Marques Da Cunha,0,11,1,0,76.0,sintetica,32,0
Largo Da Paz,4,19,0,11,85.0,sintetica,62,0
Praça Da  Singapura,5,4,0,8,31.0,sintetica,22,0
Praça Ulisses Leon De Oliveira,0,15,0,8,46.0,sintetica,36,0
Praça Tamarindo,5,8,1,4,65.0,sintetica,11,0
Praça João Miguel De Souza Junior,4,6,0,14,26.0,sintetica,46,0
Praça Alberico Glasner Da Rocha,2,19,0,1,80.0,sintetica,39,0
Praça Prof João Borba Maranhão,0,21,0,8,77.0,sintetica,13,0
Praça Faca Cega,3,13,0,12,77.0,sintetica,39,0
Praça Via Mangue,1,10,0,11,32.0,sintetica,12,0
Praça Da  Boa Viagem,3,6,0,12,72.0,sintetica,23,0
Praça Virgilio De Oliveira,1,9,1,7,84.0,sintetica,20,0
Trevo Da Ur2,6,8,1,12,68.0,sintetica,49,1
Praça Maria Vitalina Gonçalves Da Rocha,5,3,0,10,54.0,sintetica,32,0
Praça Da Várzea,0,15,0,9,36.0,sintetica,50,0
Praça Ministro João Gonçalves De Souza,0,9,0,9,91.0,sintetica,57,0
Praça Alice De Albuquerque,6,18,0,5,86.0,sintetica,72,0
Praça Profeta Joseph Smith,1,23,0,6,29.0,sintetica,12,0
Praça Bomba Do Hemetério,2,16,0,11,53.0,sintetica,51,0
Praça Joca Leal,4,8,0,5,23.0,sintetica,10,0
Praça Irmã Douraci,3,12,0,14,48.0,sintetica,18,0
Praça Do Caxito,6,0,0,14,65.0,sintetica,57,0
Largo Da Encruzilhada,5,1,0,4,94.0,sintetica,18,0
Praça Centro Campo Grande,6,12,0,3,65.0,sintetica,21,0
Praça Desenhista Eulino Santos,3,23,0,6,96.0,sintetica,10,0
Praça Quartel General,3,8,0,3,78.0,sintetica,25,0
Praça André Antunes,5,6,1,9,80.0,sintetica,39,1
Thays Lucena,5,15,1,9,87.0,sintetica,17,1
Praça São Braz,0,18,0,9,85.0,sintetica,55,0
Praça Zeppelin,3,6,0,8,53.0,sintetica,55,0
Praça Riacho Doce,4,5,0,4,24.0,sintetica,19,0
Praça Sebastião Pontes,4,17,0,7,28.0,sintetica,42,0
Praça Maria Da Conceição,1,18,0,11,39.0,sintetica,47,0
Praça Da Vila Teimosinho,6,10,0,12,40.0,sintetica,50,1
Praça Da Avenida Maurício De Nassau,5,11,0,14,36.0,sintetica,31,0
Praça  João Maurício Campos,0,9,0,11,31.0,sintetica,25,0
Praça Terminal De Cajueiro,4,12,1,11,86.0,sintetica,28,1
Praça Chão De Estrelas,2,11,0,5,24.0,sintetica,20,0
Praça Sementes Do Amanhã,0,20,0,3,79.0,sintetica,20,0
Praça Dona Elizabeth,0,9,0,11,72.0,sintetica,23,0
Praça Morena Ramos,4,19,0,2,71.0,sintetica,99,1
Praça Do Tourão,2,17,0,10,97.0,sintetica,35,0
Praça Da  Boa Viagem,1,3,0,5,67.0,sintetica,53,0
Praça Deputado Fabio Correa,4,23,0,0,38.0,sintetica,97,1
Praça Dom Miguel Valverde,2,4,1,1,36.0,sintetica,29,0
Praça Do Ipê,0,4,0,6,73.0,sintetica,14,0
Praça João Rique,2,11,1,14,87.0,sintetica,10,0
Praça Quitéria,0,2,0,3,54.0,sintetica,20,0
Prc   Rua Augusto Bamberg De Melo,6,7,0,4,60.0,sintetica,56,0
Praça Do Terminal Da Guabiraba,4,21,0,14,32.0,sintetica,67,0
Praça Estevão De Sá,5,1,0,10,52.0,sintetica,56,0
Praça Da Alegria,4,17,1,9,34.0,sintetica,37,1
Quatro De Outubro,6,8,0,0,82.0,sintetica,54,0
Praça Otávio De Freitas,3,12,0,1,34.0,sintetica,56,0
Espaço Colaborativo,3,6,0,3,50.0,sintetica,43,0
Praça  João Maurício Campos,3,9,0,7,47.0,sintetica,22,0
Praça Da Rua Sargento Rubens Leite,4,8,0,9,29.0,sintetica,53,0
Praça Joca Leal,1,21,0,3,76.0,sintetica,34,0
Praça Do Entrocamento,4,14,1,13,90.0,sintetica,32,1
Praça Da Amizade,6,4,0,2,52.0,sintetica,45,0
Praça Do Internacional,6,11,0,2,26.0,sintetica,21,0
Praça Melvin Jones,5,0,0,11,24.0,sintetica,56,0
Praça Visconde De Mauá,2,11,0,4,99.0,sintetica,54,0
Praça Luiz Albacora,4,21,0,2,76.0,sintetica,81,0
Praça Da Roda De Fogo,4,5,1,7,91.0,sintetica,29,0
Praça Onze De Junho,0,18,0,4,59.0,sintetica,25,0
Praça Cívica,6,18,0,11,47.0,sintetica,98,1
Praça Cordilandia,0,15,0,13,55.0,sintetica,11,0
Parque Dona Lindu,0,18,1,11,75.0,sintetica,58,1
Praça Professor Fleming,4,2,1,13,66.0,sintetica,25,1
Praça Do Mariano Teixeira,1,22,0,6,90.0,sintetica,13,0
Praça Marcelino Champagnat,2,9,0,10,59.0,sintetica,52,0
Praça Do Campo Santo,2,17,0,7,78.0,sintetica,22,0
Nossa Senhora De Lourdes,6,12,1,4,62.0,sintetica,47,0
Praça Da Redenção,5,17,0,7,85.0,sintetica,58,0
José Vilela,6,2,0,11,28.0,sintetica,10,0
Praça Jornalista Francisco Pessoa De Queiroz,1,22,0,14,25.0,sintetica,18,0
Praça Beira Rio,1,2,0,2,84.0,sintetica,30,0
Praça Eduardo Cardoso/Gregório Albuquerque,2,22,0,14,22.0,sintetica,27,0
Pracinha Da Estação Do Barro,3,11,1,13,93.0,sintetica,52,1
Praça Da Rua Leonardo Da Vinci,0,19,0,11,56.0,sintetica,41,0
Praça Ponte D`Uchoa,0,6,0,6,52.0,sintetica,55,0
Praça Melvin Jones,2,23,0,7,28.0,sintetica,43,0
Domingos Gilvaneti,6,7,1,6,72.0,sintetica,29,0
Praça Da Esperança,1,8,1,13,96.0,sintetica,52,1
Praça Beira Rio,6,13,0,1,70.0,sintetica,11,0
Praça Ministro Salgado Filho,5,4,1,7,90.0,sintetica,13,0
Praça Do Escorrego,3,20,0,5,45.0,sintetica,54,0
Praça Clube Sargento Wolf,2,18,0,9,35.0,sintetica,47,0
Praça Lagoa Do Araça,0,20,0,2,59.0,sintetica,16,0
Praça Do Mercado Da Madalena,4,15,1,3,70.0,sintetica,31,0
Praça Da Cavalaria,6,23,1,6,58.0,sintetica,75,0
Praça Deputado Fabio Correa,1,11,0,2,74.0,sintetica,44,0
Praça Jockey Clube,4,20,0,0,55.0,sintetica,93,1
Praça Professor Barreto Campelo B,5,3,0,5,84.0,sintetica,29,0
Wilma Damasceno,2,7,1,2,96.0,sintetica,44,1
Praça Clube Sargento Wolf,6,6,0,10,64.0,sintetica,42,0
Praça A.B.C (Abc),0,14,0,14,28.0,sintetica,30,0
Prc Senhor Bartolomeu,6,5,0,9,56.0,sintetica,54,0
Praça Machado De Assis,3,4,0,5,20.0,sintetica,23,0
Praça Do Alto Da Serrinha,4,13,0,9,85.0,sintetica,40,0
Praça Lins Do Rego/Dos Brotos,3,20,0,11,82.0,sintetica,31,0
Praça Faca Cega,5,12,0,2,62.0,sintetica,57,0
Praça Alto Da Serrinha,0,9,1,5,47.0,sintetica,39,0
Praça Da Rua Riacho Doce,4,17,0,10,50.0,sintetica,38,0
Praça Da Ur5 Ibura,5,3,1,3,88.0,sintetica,45,1
Praça Desenhista Eulino Santos,3,7,0,12,27.0,sintetica,58,0
Praça Barão Da Soledade,3,23,0,3,53.0,sintetica,51,0
Praça Do Escorrego,4,10,0,9,68.0,sintetica,38,0
Praça Ana Lima Brandão,0,16,0,9,77.0,sintetica,16,0
Praça Do Caixito,3,17,0,10,94.0,sintetica,41,0
Parque Dona Lindu,2,20,0,1,66.0,sintetica,22,0
Praça Encanta Moça/Posto Policial,5,10,0,13,44.0,sintetica,22,0
Praça Da Rua Do Campo,4,15,0,3,22.0,sintetica,23,0
Praça Tamarindo,1,11,0,10,64.0,sintetica,15,0
Praça Dom José Pereira Alves,1,12,0,11,71.0,sintetica,25,0
Parque Exposição Do Cordeiro,0,15,0,3,53.0,sintetica,50,0
Praça Da Rua Carlos Gomes/ Do Cavalo Dourado,2,22,0,10,88.0,sintetica,57,0
Praça Do Entroncamento,3,20,0,6,27.0,sintetica,30,0
Praça Da Convenção,1,0,1,4,46.0,sintetica,53,0
Praça Infantil John F. Kennedy,0,15,0,7,99.0,sintetica,25,0
Praça Do Bom Pastor,5,14,0,6,82.0,sintetica,14,0
Prc   Rua Augusto Bamberg De Melo,2,5,0,9,44.0,sintetica,33,0
Praça Alto Da Serrinha,2,11,0,8,77.0,sintetica,52,0
Praça Amaro Albino Pimentel,6,7,0,7,67.0,sintetica,10,0
Praça Bambu,0,6,1,14,20.0,sintetica,19,1
Praça Da  Singapura,0,1,0,8,27.0,sintetica,52,0
Praça Arsenal Da Marinha,6,11,0,0,40.0,sintetica,56,0
Praça Flor De Santana,3,20,0,9,97.0,sintetica,44,0
Praça Clube Sargento Wolf,0,13,0,12,48.0,sintetica,40,0
Praça Jardim Uchôa,6,15,0,11,49.0,sintetica,24,0
Praça Do S,3,10,0,2,22.0,sintetica,20,0
Praça Campo Santo,3,19,0,4,26.0,sintetica,18,0
Praça Da Alegria,4,8,0,8,30.0,sintetica,11,0
Praça São Pedro,2,9,0,7,51.0,sintetica,53,0
Praça Encanamento,5,16,0,13,78.0,sintetica,39,0
Pracinha De Boa Viagem,2,11,0,9,31.0,sintetica,25,0
Praça Eça De Queiroz,2,5,0,6,98.0,sintetica,57,0
Praça Da Rua Clotilde Machado,4,18,0,1,57.0,sintetica,96,1
Praça Bambu,3,10,0,14,43.0,sintetica,57,0
Praça João Pereira Borges,3,8,0,10,84.0,sintetica,15,0
Praça Sargento Max Wolf Filho,0,20,0,5,37.0,sintetica,55,0
Praça Do Entrocamento,4,5,1,3,65.0,sintetica,20,0
Praça Dona Elizabeth,0,23,0,4,75.0,sintetica,42,0
Praça Cidade Do Porto,4,15,0,13,82.0,sintetica,26,0
Praça Do Entroncamento,0,19,0,4,26.0,sintetica,43,0
Praça Bambu,1,15,0,12,85.0,sintetica,55,0
Praça Bambu,6,5,1,3,59.0,sintetica,49,0
Praça Francisco Apolônio Jorge Sales,2,4,0,3,73.0,sintetica,34,0
Praça Av Do Forte,2,20,0,14,50.0,sintetica,31,0
Praça Do Caixito,5,3,0,3,71.0,sintetica,35,0
Praça Fernando Galvão,6,1,0,10,50.0,sintetica,36,0
Praça São José Dos Manguinhos,3,5,0,1,53.0,sintetica,47,0
Praça Izabel De Goes,5,8,0,0,26.0,sintetica,18,0
Praça Ayrton Senna,1,16,0,11,35.0,sintetica,46,0
Praça José Sales Filho,5,13,0,1,41.0,sintetica,14,0
Praça Elvira Andrade De Souza,2,6,0,6,72.0,sintetica,27,1
Praça Do Bueirão,3,21,1,11,36.0,sintetica,31,1
Prc   Rua Augusto Bamberg De Melo,1,18,0,0,23.0,sintetica,55,0
Praça Professor Trajano,2,0,0,5,80.0,sintetica,21,0
Praça Do Largo Da Ponte Do Motocolombo,6,19,0,3,71.0,sintetica,97,0
Praça Da Rua Caxangá Agape,0,14,0,1,54.0,sintetica,31,0
Pracinha Das Crianças,4,17,0,14,63.0,sintetica,15,0
Praça Herois Da Restauração /Do Buraco,1,2,0,14,34.0,sintetica,45,0
Praça Poliesportiva Da Ur4 Ibura,3,17,0,2,80.0,sintetica,36,0
Benilda Ribeiro De Souza,5,1,0,6,63.0,sintetica,56,0
Praça Dom Miguel Valverde,6,9,0,5,40.0,sintetica,24,0
Praça Arco Íris,5,10,1,14,96.0,sintetica,26,1
Praça Elvira Andrade De Souza,1,23,0,14,66.0,sintetica,12,0
Praça Do Rosarinho,6,2,0,5,94.0,sintetica,19,1
Praça Da Avenida Da Recuperação,3,6,1,7,68.0,sintetica,34,0
Praça Luz Da Fraternidade,1,7,0,7,72.0,sintetica,30,0
Praça Professor Trajano,3,18,0,5,46.0,sintetica,49,0
Praça Chico Science,5,17,0,0,50.0,sintetica,18,0
Praça Gustavo Barrozo,2,12,0,9,63.0,sintetica,33,0
Praça Da Rua Da Aurora,6,12,0,12,51.0,sintetica,41,1
Praça Sargento Max Wolf Filho,0,23,0,6,49.0,sintetica,12,0
Área Central Da Avenida José Américo De Almeida,2,18,0,7,37.0,sintetica,42,0
Praça Da Lagoa Encantada,0,22,0,4,82.0,sintetica,52,0
Praça Clotilde Machado,5,11,1,12,35.0,sintetica,54,0
Praça Dom Vital,6,16,0,10,54.0,sintetica,21,0
Praça Monteiro Lobato,2,21,1,3,81.0,sintetica,38,0
Praça Professor Agamenon Magalhães,2,11,1,6,28.0,sintetica,30,0
Praça Irmã Douraci,1,12,0,11,81.0,sintetica,48,0
Praça Doutor Júlio Campelo,4,11,1,11,58.0,sintetica,43,1
Praça Frei Cassimiro,5,18,0,10,70.0,sintetica,66,0
Praça Odília Freire Dos Santos,3,13,1,12,29.0,sintetica,41,1
